"Currency:","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD"
"Unique Identifier: ","Z1/Z1/FA106060005.A","Z1/Z1/FA106231005.A","Z1/Z1/FA106121075.A","Z1/Z1/FA105020601.A","Z1/Z1/FA106300015.A","Z1/Z1/FA106006065.A","Z1/Z1/FA105440005.A","Z1/Z1/FA106000105.A","Z1/Z1/FA105090005.A","Z1/Z1/FA105050005.A","Z1/Z1/FA105019005.A","Z1/Z1/FA105020005.A","Z1/Z1/FA105420005.A","Z1/Z1/FA105000005.A","Z1/Z1/FA104090005.A","Z1/Z1/FA103091003.A","Z1/Z1/FA103020000.A","Z1/Z1/FA103030003.A","Z1/Z1/FA103034000.A","Z1/Z1/FA102051003.A","Z1/Z1/FA104022005.A","Z1/Z1/FA103069100.A","Z1/Z1/FA103061103.A","Z1/Z1/FA103061703.A","Z1/Z1/FA103062003.A","Z1/Z1/FA104023005.A","Z1/Z1/FA103065003.A","Z1/Z1/FA103066005.A","Z1/Z1/FA103064103.A","Z1/Z1/FA103064203.A","Z1/Z1/FA103070005.A","Z1/Z1/FA103092005.A","Z1/Z1/FA103090005.A","Z1/Z1/FA104194005.A","Z1/Z1/FA104122005.A","Z1/Z1/FA103169100.A","Z1/Z1/FA103162000.A","Z1/Z1/FA103163003.A","Z1/Z1/FA104123005.A","Z1/Z1/FA103168005.A","Z1/Z1/FA103169005.A","Z1/Z1/FA103165005.A","Z1/Z1/FA103164103.A","Z1/Z1/FA103170005.A","Z1/Z1/FA103178005.A","Z1/Z1/FA103192005.A","Z1/Z1/FA103190005.A","Z1/Z1/FA573074005.A","Z1/Z1/FA573073005.A","Z1/Z1/FA103193005.A","Z1/Z1/FA107005005.A","Z1/Z1/FA105005305.A"
"Time Period","FA106060005.A","FA106231005.A","FA106121075.A","FA105020601.A","FA106300015.A","FA106006065.A","FA105440005.A","FA106000105.A","FA105090005.A","FA105050005.A","FA105019005.A","FA105020005.A","FA105420005.A","FA105000005.A","FA104090005.A","FA103091003.A","FA103020000.A","FA103030003.A","FA103034000.A","FA102051003.A","FA104022005.A","FA103069100.A","FA103061103.A","FA103061703.A","FA103062003.A","FA104023005.A","FA103065003.A","FA103066005.A","FA103064103.A","FA103064203.A","FA103070005.A","FA103092005.A","FA103090005.A","FA104194005.A","FA104122005.A","FA103169100.A","FA103162000.A","FA103163003.A","FA104123005.A","FA103168005.A","FA103169005.A","FA103165005.A","FA103164103.A","FA103170005.A","FA103178005.A","FA103192005.A","FA103190005.A","FA573074005.A","FA573073005.A","FA103193005.A","FA107005005.A","FA105005305.A"
2001,325251,106211,245419,8044,832407,112939,-12532,939543,1143045,1026175,1061331,-34270,-886,116870,368652,-8512,-54122,8777,100150,-224,660,2404,-1253,2116,-2607,-5336,3102,-8438,-205976,4304,-121316,123022,527225,251782,203550,-83120,3500,283170,-63609,-105067,2105,39353,-48125,-103731,3053,142379,118266,-24583,126897,15952,-203501,199570
2002,366428,91076,254790,8866,903227,95046,0,1027701,1149188,969100,952055,19687,-2641,180088,376695,5070,-12690,10181,5650,2191,21266,4620,14502,-656,2800,4669,2924,1745,-1893,-176,-98382,130540,310269,196607,20295,-57913,2935,75273,-15522,-103389,31867,56000,-14505,19721,11909,75970,98739,1525,80842,16373,-121488,36446
2003,508435,126492,293366,-14471,910790,109291,-90,1094278,899871,986901,976556,12535,-2190,-87031,-81747,17558,39313,71477,-26155,-185,10846,10890,2336,-5653,3273,-13534,2197,-15731,-121504,5792,-17743,123328,-170940,5284,37178,-37332,3292,71218,-47268,-91382,2890,41224,-15607,-54732,-11732,45739,51706,-169,56561,-4686,194407,1915
2004,716549,179218,364481,-40211,927219,112680,-6657,1179194,1331231,1073124,1024279,50856,-2012,258108,711735,15560,30424,7678,12407,436,16185,19344,324,108,-3591,14986,14840,146,7400,-1268,128850,268264,210813,453627,19878,15301,11685,-7108,146128,3952,55448,86728,-120555,97256,6774,101744,202402,-3116,84336,121181,-152038,6610
2005,1029929,262507,170802,-36030,805274,-29387,-15516,1351993,1507819,1205694,1153785,51125,784,302125,927537,9866,100082,9904,53054,8138,40388,15951,18103,6034,300,2024,1652,372,-185925,712,277605,15354,596335,625412,52,-7711,43302,-35539,268631,-27119,110317,185433,-276167,199446,-1774,102731,332493,-1885,93047,241331,-155826,-175686
2006,1191317,296059,471075,-31941,847388,136573,-26,1376230,1690910,1361462,1284177,64030,13256,329448,617765,-14235,-77690,6632,68983,973,-1159,11695,-6654,-2218,-3982,-13963,-8433,-5530,-224039,23640,-14765,206911,656477,288317,155640,22446,53748,79446,250673,21450,118988,110235,-473173,110348,-801,196207,49423,1982,52640,-5199,-314680,121805
2007,1113978,277392,484582,-43630,902620,164329,-34,1375357,1755853,1423811,1393846,29801,165,332042,1049469,914,51384,-125657,137638,-7483,-61675,-53207,-7144,-2381,1057,-17311,-18443,1132,35408,-4904,162963,297990,580202,717427,206061,11297,70715,124049,457674,95592,287521,74561,-647736,85903,-49593,219258,445860,4541,-5881,447200,-380496,212783
2008,894536,207831,474169,-34830,1068199,172258,-3685,1421849,762637,1414625,1422528,-25803,17901,-651988,-333240,-25546,-134307,-109447,272334,-872,-25685,-12176,-7864,-2621,-3024,-10205,-7725,-2480,201760,-16512,-168242,254499,-571017,318748,190660,7663,65154,117843,61526,63071,67972,-69517,-289719,-229921,3126,198544,384533,14738,102501,267294,659212,165035
2009,756057,162122,351394,2617,1056703,187446,38298,1451009,1579994,1077218,1200788,-130181,6611,502777,207770,6824,174321,76913,-112906,674,16316,-1299,12509,4169,937,-7822,-4101,-3721,-99497,35268,-29516,268583,-121389,-295007,180515,-73067,37635,215947,-498936,-228398,-160994,-109544,-40021,-86928,-3254,112532,41085,-8605,38186,11504,-128986,-186345
2010,1042407,203797,375473,-47593,1086815,212128,20917,1693570,1607488,1300397,1247041,54437,-1080,307091,555250,13203,129777,6439,-169929,-93,-2818,-12476,6867,4884,-2093,-4117,-1563,-2554,-51450,7460,141836,298597,186345,248159,242322,24518,32866,184938,-299612,-84948,-108870,-105794,-200953,156864,42698,162342,144498,15383,-20866,149981,86082,-181045
2011,1027287,209031,441047,-68008,1248552,208964,-6428,1773146,1407642,1424976,1384522,41468,-1014,-17334,368615,-11463,95462,-39889,-39310,872,-13279,93,-7801,-2161,-3410,236,-557,793,23399,-13832,86671,400120,-120372,385949,202100,33379,8209,160512,109512,146947,59665,-97100,-382575,23705,13347,199386,220474,2960,-4296,221809,365504,-139206
2012,1268370,245429,517935,-11449,1124138,186172,-16997,1820864,1220017,1611300,1537527,73526,247,-391283,307167,1093,39767,13731,-10918,-4633,-15779,-11472,-2799,-1334,-174,-2521,-1886,-635,-26549,-5820,55269,317895,-54368,698450,353438,14022,12019,327397,24313,101029,19871,-96587,-300007,68072,1357,189849,361428,-12321,10829,362920,600847,-23392
2013,1321963,263518,531888,14379,1162722,216241,-5712,1925610,1731025,1676002,1591521,83105,1376,55023,707911,68550,42091,39155,30580,4360,-3950,-5678,1674,277,-223,-4425,1554,-5979,9893,2460,268196,296857,-45856,652888,294488,14182,968,279338,99354,53643,37825,7886,-277296,100522,-9911,187740,257991,-2472,125871,134592,194585,-33368
2014,1376511,290728,597532,2131,1238901,206251,-6675,1942209,1510799,1821955,1746023,74344,1587,-311156,673589,-9309,116754,-87561,21859,27799,25723,25135,1579,638,-1629,1640,1947,-307,37288,24028,107496,317323,90549,984745,326545,37501,-680,289724,145696,98359,65026,-17689,-301946,148547,12218,185445,468240,-2865,42222,428883,431410,85997
2015,1285848,283217,641101,56296,1317394,195496,-3241,1933957,1849378,1935867,1789527,116868,29472,-86489,1139971,-19005,49366,10899,19010,14159,3737,7807,-3770,-1303,1003,23058,23540,-482,-42227,12228,33315,259135,776296,1226460,411926,-2995,12904,402017,187616,101552,-5800,91864,-453477,24341,-21203,415665,661593,15162,59471,586960,84578,197407
2016,1249296,261856,690692,-676,1359590,199804,2634,1852833,1865059,1789260,1754153,27807,7299,75799,951824,3730,154056,17464,-112497,25689,-4114,-6866,4155,1295,-2698,-21601,-22758,1157,67228,-3312,198783,255310,371088,876025,286408,1766,17008,267634,18524,1234,11064,6226,-495851,184231,-8093,410955,479851,8824,55936,415091,-12226,136231
2017,1250411,224189,720747,-52674,1488736,239554,191497,1789593,1957999,1883161,1865999,17053,109,74838,547743,118963,-16175,-7726,35628,-50729,28840,-8803,30135,9987,-2479,2880,2393,487,-89129,7564,160913,310537,46177,472905,320804,25887,13329,281588,60760,-47729,147716,-39227,-325551,81344,211113,281460,-157025,19166,-67004,-109188,-168406,333122
2018,1255946,196436,259846,-54656,1659042,-343418,-6195,2066829,1952510,2068189,2016960,53353,-2125,-115679,870477,-110260,237975,5842,-33358,-24972,19087,38399,-15591,-5455,1734,2175,1986,189,-38260,-9820,396353,-157639,583354,986156,138826,-10203,-4155,153184,133869,69963,4247,59659,-548261,320692,-10551,184544,767037,-34555,80091,721502,114319,-342058
2019,1261334,212378,636551,-5302,1663044,33985,-1118,2105250,1637317,2147664,2097534,50549,-419,-510347,751365,10290,82647,8936,92186,-2381,71548,83108,-8743,-2761,-56,132,129,3,202,5032,81230,77476,324067,1261712,259682,-1937,14201,247418,196329,20673,128793,46864,-453206,82944,-15466,253590,937839,-870,-13774,952483,467933,76399
